s_city_id,s_lon,s_lat,Colonne1,e_City,e_lat,e_lon,Column1
366,-8.391,31.158,505,Rabat,34.02236,-6.8340222,
367,-8.392,31.157,505,Rabat,34.02236,-6.8340222,
368,-8.393,31.155,505,Rabat,34.02236,-6.8340222,
369,-8.393,31.156,505,Rabat,34.02236,-6.8340222,
370,-8.393,31.155,505,Rabat,34.02236,-6.8340222,
371,-8.393,31.155,505,Rabat,34.02236,-6.8340222,
372,-8.393,31.155,505,Rabat,34.02236,-6.8340222,
373,-8.392,31.155,505,Rabat,34.02236,-6.8340222,
374,-8.392,31.155,505,Rabat,34.02236,-6.8340222,
375,-8.393,31.155,505,Rabat,34.02236,-6.8340222,
376,-8.393,31.155,505,Rabat,34.02236,-6.8340222,
377,-8.393,31.155,505,Rabat,34.02236,-6.8340222,
378,-8.394,31.155,505,Rabat,34.02236,-6.8340222,
379,-8.394,31.155,505,Rabat,34.02236,-6.8340222,
380,-8.394,31.155,505,Rabat,34.02236,-6.8340222,
381,-8.394,31.155,505,Rabat,34.02236,-6.8340222,
382,-8.394,31.155,505,Rabat,34.02236,-6.8340222,
383,-8.393,31.155,505,Rabat,34.02236,-6.8340222,
384,-8.393,31.154,505,Rabat,34.02236,-6.8340222,
385,-8.393,31.154,505,Rabat,34.02236,-6.8340222,
386,-8.393,31.155,505,Rabat,34.02236,-6.8340222,
387,-8.393,31.155,505,Rabat,34.02236,-6.8340222,
388,-8.393,31.155,505,Rabat,34.02236,-6.8340222,
389,-8.393,31.155,505,Rabat,34.02236,-6.8340222,
390,-8.393,31.155,505,Rabat,34.02236,-6.8340222,
391,-8.393,31.155,505,Rabat,34.02236,-6.8340222,
392,-8.393,31.155,505,Rabat,34.02236,-6.8340222,
393,-8.393,31.155,505,Rabat,34.02236,-6.8340222,
394,-8.393,31.155,505,Rabat,34.02236,-6.8340222,
395,-8.394,31.155,505,Rabat,34.02236,-6.8340222,
396,-8.393,31.155,505,Rabat,34.02236,-6.8340222,
397,-8.393,31.155,505,Rabat,34.02236,-6.8340222,
398,-8.394,31.155,505,Rabat,34.02236,-6.8340222,
399,-8.393,31.155,505,Rabat,34.02236,-6.8340222,
400,-8.393,31.155,505,Rabat,34.02236,-6.8340222,
401,-8.393,31.155,505,Rabat,34.02236,-6.8340222,
402,-8.393,31.155,505,Rabat,34.02236,-6.8340222,
403,-8.393,31.155,505,Rabat,34.02236,-6.8340222,
404,-8.393,31.155,505,Rabat,34.02236,-6.8340222,
405,-8.393,31.155,505,Rabat,34.02236,-6.8340222,
406,-8.393,31.155,505,Rabat,34.02236,-6.8340222,
407,-8.393,31.155,505,Rabat,34.02236,-6.8340222,
408,-8.393,31.155,505,Rabat,34.02236,-6.8340222,
409,-8.392,31.155,505,Rabat,34.02236,-6.8340222,
410,-8.392,31.155,505,Rabat,34.02236,-6.8340222,
411,-8.392,31.155,505,Rabat,34.02236,-6.8340222,
412,-8.392,31.155,505,Rabat,34.02236,-6.8340222,
413,-8.393,31.155,505,Rabat,34.02236,-6.8340222,
414,-8.394,31.155,505,Rabat,34.02236,-6.8340222,
415,-8.393,31.155,505,Rabat,34.02236,-6.8340222,
416,-8.393,31.155,505,Rabat,34.02236,-6.8340222,
417,-8.393,31.155,505,Rabat,34.02236,-6.8340222,
418,-8.393,31.155,505,Rabat,34.02236,-6.8340222,
419,-8.392,31.155,505,Rabat,34.02236,-6.8340222,
420,-8.393,31.155,505,Rabat,34.02236,-6.8340222,
421,-8.392,31.155,505,Rabat,34.02236,-6.8340222,
422,-8.393,31.155,505,Rabat,34.02236,-6.8340222,
423,-8.393,31.155,505,Rabat,34.02236,-6.8340222,
424,-8.393,31.155,505,Rabat,34.02236,-6.8340222,
425,-8.393,31.155,505,Rabat,34.02236,-6.8340222,
426,-8.394,31.154,505,Rabat,34.02236,-6.8340222,
427,-8.394,31.154,505,Rabat,34.02236,-6.8340222,
428,-8.392,31.154,505,Rabat,34.02236,-6.8340222,
429,-8.392,31.154,505,Rabat,34.02236,-6.8340222,
430,-8.393,31.153,505,Rabat,34.02236,-6.8340222,
431,-8.393,31.154,505,Rabat,34.02236,-6.8340222,
432,-8.392,31.154,505,Rabat,34.02236,-6.8340222,
433,-8.393,31.154,505,Rabat,34.02236,-6.8340222,
434,-8.391,31.152,505,Rabat,34.02236,-6.8340222,
435,-8.392,31.153,505,Rabat,34.02236,-6.8340222,
436,-8.392,31.153,505,Rabat,34.02236,-6.8340222,
437,-8.392,31.153,505,Rabat,34.02236,-6.8340222,
438,-8.394,31.153,505,Rabat,34.02236,-6.8340222,
439,-8.391,31.153,505,Rabat,34.02236,-6.8340222,
440,-8.392,31.152,505,Rabat,34.02236,-6.8340222,
441,-8.391,31.152,505,Rabat,34.02236,-6.8340222,
442,-8.391,31.152,505,Rabat,34.02236,-6.8340222,
443,-8.391,31.152,505,Rabat,34.02236,-6.8340222,
444,-8.391,31.152,505,Rabat,34.02236,-6.8340222,
445,-8.391,31.153,505,Rabat,34.02236,-6.8340222,
